acc_x,acc_y,acc_z
0.72,0.694,-0.124
-0.173,0.694,-0.891
0.799,0.982,-1.029
0.985,-0.056,-0.406
-0.145,0.592,-0.12
-0.48,0.174,-0.292
-0.526,-0.021,-0.348
-0.536,0.48,-0.294
-0.213,-0.301,-0.384
0.064,-0.227,-0.36
-0.59,0.303,0.065
0.463,-0.018,-0.249
-0.24,-0.086,0.213
0.038,-0.084,-0.293
0.127,0.053,-0.083
-0.238,-0.176,-0.024
0.27,-0.057,-0.279
-0.236,0.093,0.106
-0.188,0.034,-0.176
0.07,0.038,-0.172
0.147,-0.146,0.018
0.25,0.195,-0.216
-0.287,-0.13,0.054
-0.07,0.102,-0.065
0.169,0.155,-0.106
-0.149,-0.022,-0.156
0.153,0.128,-0.018
0.397,0.03,-0.284
0.09,-0.118,0.084
-0.159,0.128,0.549
0.061,-0.295,-0.112
0.404,-0.055,-0.573
0.072,0.017,-0.261
-0.043,0.072,0.069
0.182,0.046,0.06
-0.125,-0.154,-0.043
0.201,0.163,-0.088
-0.026,-0.079,-0.186
-0.059,0.165,0.142
-0.651,-0.32,0.081
0.53,0.144,0.089
-0.044,-0.04,-0.068
-0.05,-0.196,-0.045
-0.258,0.078,0.125
-0.497,-0.156,-0.525
